epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.804,1.6587,5.24177,0.90324,0.38772,0.14011,0.1042,0.06978,1.41205,2.18143,0.86595,0.00332845,0.00332845,0.0700439
2,210.542,1.65056,2.48506,0.89089,0.39,0.17316,0.1441,0.08758,1.59127,2.01217,0.90467,0.00666106,0.00666106,0.0400432
3,310.45,1.69803,2.36417,0.90781,0.38114,0.19182,0.13387,0.08153,1.5652,2.09475,0.90603,0.00999078,0.00999078,0.0100396
4,409.906,1.6953,2.33282,0.91019,0.45588,0.16822,0.13537,0.0874,1.47705,2.05175,0.89509,0.00999023,0.00999023,0.00999023
5,509.032,1.62623,2.1967,0.89394,0.41318,0.1985,0.16872,0.11179,1.36642,1.85607,0.8762,0.00998264,0.00998264,0.00998264
6,607.957,1.58579,2.09886,0.88687,0.32923,0.22333,0.18267,0.12393,1.36406,1.84117,0.87958,0.00997288,0.00997288,0.00997288
7,708.803,1.54302,1.98324,0.88191,0.44802,0.21872,0.21495,0.14045,1.38099,1.71641,0.87619,0.00996097,0.00996097,0.00996097
8,810.491,1.5172,1.94109,0.87285,0.46847,0.22136,0.23081,0.15709,1.34699,1.64074,0.8708,0.0099469,0.0099469,0.0099469
9,909.738,1.49593,1.89542,0.86895,0.40378,0.26418,0.24457,0.16433,1.34632,1.58233,0.86973,0.00993068,0.00993068,0.00993068
10,1008.42,1.46698,1.84348,0.86192,0.3959,0.2813,0.26076,0.17926,1.30261,1.56484,0.86478,0.00991232,0.00991232,0.00991232
11,1106.92,1.44664,1.79428,0.86504,0.46338,0.26619,0.26594,0.18092,1.28926,1.52491,0.85906,0.00989183,0.00989183,0.00989183
12,1206.14,1.41974,1.71471,0.8562,0.44004,0.26708,0.27685,0.19155,1.30114,1.48994,0.86226,0.00986922,0.00986922,0.00986922
13,1304.7,1.42889,1.72809,0.855,0.4279,0.28776,0.28,0.19238,1.28677,1.50574,0.85945,0.00984449,0.00984449,0.00984449
14,1403.8,1.40959,1.69313,0.85365,0.44431,0.27719,0.29414,0.20427,1.25743,1.45636,0.85575,0.00981765,0.00981765,0.00981765
15,1502.75,1.39022,1.67697,0.85148,0.50718,0.28692,0.30539,0.21191,1.2394,1.41021,0.84706,0.00978873,0.00978873,0.00978873
16,1601.25,1.39772,1.66265,0.85609,0.46545,0.28999,0.31095,0.21604,1.2625,1.40978,0.8556,0.00975773,0.00975773,0.00975773
17,1697.85,1.39387,1.62991,0.85465,0.4892,0.31471,0.32477,0.2237,1.27679,1.37192,0.85605,0.00972466,0.00972466,0.00972466
18,1798.13,1.37415,1.62146,0.85083,0.5076,0.29747,0.3296,0.22862,1.23516,1.34777,0.85136,0.00968955,0.00968955,0.00968955
19,1898.52,1.37817,1.59828,0.84934,0.47507,0.32392,0.33128,0.22795,1.28263,1.34794,0.85913,0.00965239,0.00965239,0.00965239
20,1999.18,1.36891,1.58974,0.84774,0.52722,0.32111,0.3392,0.24127,1.20098,1.31992,0.84116,0.00961322,0.00961322,0.00961322
21,2099.2,1.36049,1.54139,0.84957,0.42206,0.33489,0.33416,0.23275,1.23547,1.33058,0.85148,0.00957205,0.00957205,0.00957205
22,2198.98,1.35284,1.53335,0.8486,0.50325,0.32263,0.3426,0.24099,1.22831,1.28869,0.85201,0.00952889,0.00952889,0.00952889
23,2299.38,1.34624,1.53894,0.84348,0.49226,0.34487,0.35735,0.25094,1.21631,1.28726,0.84545,0.00948377,0.00948377,0.00948377
24,2399.45,1.34117,1.51629,0.84251,0.4646,0.3383,0.36366,0.25541,1.1836,1.24539,0.84188,0.00943671,0.00943671,0.00943671
25,2499.45,1.33771,1.50493,0.84477,0.51069,0.33445,0.36321,0.25139,1.22878,1.25019,0.84975,0.00938772,0.00938772,0.00938772
26,2599.51,1.32883,1.4652,0.84179,0.51109,0.32619,0.36229,0.25444,1.19439,1.23373,0.84388,0.00933683,0.00933683,0.00933683
27,2699.36,1.33279,1.47761,0.84068,0.48814,0.35517,0.3739,0.26321,1.19399,1.23733,0.84187,0.00928405,0.00928405,0.00928405
28,2799.21,1.31924,1.46406,0.84057,0.52099,0.34671,0.37618,0.26465,1.18049,1.20473,0.84286,0.00922942,0.00922942,0.00922942
29,2899.21,1.31948,1.46027,0.84077,0.54537,0.34572,0.38712,0.27631,1.19195,1.17851,0.84267,0.00917296,0.00917296,0.00917296
30,2998.98,1.33261,1.46443,0.83526,0.55785,0.35142,0.39262,0.27647,1.18745,1.16053,0.83986,0.00911469,0.00911469,0.00911469
31,3099.51,1.30659,1.42976,0.83736,0.53255,0.36047,0.39263,0.27863,1.1639,1.16967,0.83711,0.00905463,0.00905463,0.00905463
32,3202.17,1.31017,1.43208,0.84048,0.56694,0.36367,0.39921,0.28593,1.17105,1.1457,0.83652,0.00899282,0.00899282,0.00899282
33,3305.15,1.30783,1.41966,0.83747,0.55507,0.3556,0.40361,0.2841,1.19371,1.14298,0.84225,0.00892928,0.00892928,0.00892928
34,3408.27,1.31503,1.42666,0.83675,0.52864,0.37617,0.4055,0.28433,1.19856,1.13998,0.84481,0.00886404,0.00886404,0.00886404
35,3511.47,1.28004,1.38629,0.83546,0.56165,0.35599,0.40508,0.28566,1.17187,1.13018,0.83626,0.00879713,0.00879713,0.00879713
36,3613.98,1.28219,1.37951,0.83849,0.5504,0.36874,0.4112,0.2882,1.1922,1.1297,0.84181,0.00872857,0.00872857,0.00872857
