epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,356.757,1.16713,4.67193,1.07872,0.57858,0.28835,0.28825,0.20769,1.10461,1.91309,1.0942,0.00333099,0.00333099,0.0700211
2,691.399,1.074,1.76568,1.037,0.56489,0.39501,0.42157,0.29256,1.14095,1.51916,1.08241,0.0066627,0.0066627,0.0400195
3,1023.03,1.12631,1.61133,1.06426,0.54289,0.41646,0.47553,0.3394,1.11284,1.48456,1.11403,0.00998789,0.00998789,0.0100113
4,1353.61,1.14316,1.52114,1.0905,0.6062,0.45968,0.5355,0.3799,1.1438,1.38759,1.12136,0.00997803,0.00997803,0.00997803
5,1684.89,1.10255,1.33648,1.08789,0.65837,0.56133,0.61972,0.44098,1.13693,1.2146,1.13905,0.00996097,0.00996097,0.00996097
6,2015.25,1.05361,1.19794,1.06548,0.6254,0.58734,0.62651,0.46039,1.05002,1.16784,1.0979,0.00993906,0.00993906,0.00993906
7,2346.88,1.04524,1.14276,1.06191,0.66712,0.583,0.64879,0.46813,1.05913,1.09976,1.08202,0.00991232,0.00991232,0.00991232
8,2676.75,1.01949,1.06969,1.0512,0.64508,0.67057,0.71621,0.51825,1.0244,1.01499,1.0845,0.00988079,0.00988079,0.00988079
9,3007.53,1.00748,1.02222,1.05189,0.66567,0.68939,0.71942,0.5358,0.99877,0.98155,1.09334,0.00984449,0.00984449,0.00984449
10,3338.67,0.9911,0.96063,1.05063,0.75015,0.64356,0.72573,0.53222,1.03507,0.92642,1.11026,0.00980345,0.00980345,0.00980345
11,3669.04,0.97027,0.94325,1.0363,0.73338,0.63801,0.72642,0.5374,0.99547,0.90873,1.07855,0.00975773,0.00975773,0.00975773
12,3999.97,0.97097,0.92299,1.04213,0.7407,0.70189,0.75761,0.54326,1.06619,0.92625,1.11147,0.00970736,0.00970736,0.00970736
13,4330.45,0.95747,0.89442,1.03026,0.78914,0.67189,0.77639,0.58134,0.99532,0.87162,1.08093,0.00965239,0.00965239,0.00965239
