epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.451,1.35082,3.37805,1.23757,0.49986,0.44094,0.44142,0.29381,1.2725,1.58809,1.30814,0.00333056,0.00333056,0.070025
2,306.402,1.29559,1.77817,1.20602,0.59825,0.59263,0.59781,0.39613,1.25687,1.31424,1.31214,0.00666227,0.00666227,0.0400233
3,444.106,1.33779,1.67902,1.24386,0.63288,0.52975,0.59402,0.3799,1.35102,1.43115,1.42134,0.00998746,0.00998746,0.0100152
4,581.838,1.35455,1.65023,1.28726,0.66482,0.63682,0.68495,0.475,1.16651,1.14784,1.32143,0.00997803,0.00997803,0.00997803
5,720.688,1.29622,1.46411,1.27096,0.71171,0.65015,0.72576,0.50652,1.14339,1.08206,1.31024,0.00996097,0.00996097,0.00996097
6,859.943,1.25272,1.35633,1.24758,0.74959,0.71336,0.76867,0.53587,1.13772,0.98719,1.31023,0.00993906,0.00993906,0.00993906
7,998.012,1.22806,1.28347,1.22862,0.78385,0.70379,0.776,0.5649,1.05777,0.95797,1.25736,0.00991232,0.00991232,0.00991232
8,1135.76,1.18828,1.19952,1.21651,0.77404,0.71769,0.7921,0.56485,1.08106,0.90125,1.28549,0.00988079,0.00988079,0.00988079
9,1273.88,1.17501,1.16591,1.21044,0.78788,0.75129,0.83151,0.60404,1.06017,0.83964,1.25365,0.00984449,0.00984449,0.00984449
10,1413.25,1.15947,1.14273,1.20342,0.82659,0.76096,0.84604,0.61782,1.04915,0.80206,1.24802,0.00980345,0.00980345,0.00980345
11,1548.63,1.1303,1.0924,1.18541,0.83249,0.78794,0.8523,0.63777,0.99295,0.76562,1.21803,0.00975773,0.00975773,0.00975773
12,1685.72,1.12501,1.07695,1.18023,0.84479,0.79133,0.86042,0.63595,1.00097,0.75012,1.21637,0.00970736,0.00970736,0.00970736
13,1818.35,1.11498,1.04723,1.17654,0.8145,0.80792,0.86018,0.6376,1.00462,0.72864,1.21435,0.00965239,0.00965239,0.00965239
14,1956.76,1.10238,1.03412,1.16911,0.83161,0.82104,0.87862,0.6601,0.98742,0.6954,1.21635,0.00959289,0.00959289,0.00959289
15,2093.84,1.09519,1.00378,1.1601,0.82383,0.77186,0.86324,0.66048,0.94508,0.71036,1.18389,0.00952889,0.00952889,0.00952889
16,2232.08,1.08781,0.99715,1.16086,0.86959,0.80579,0.87835,0.66834,0.9228,0.67226,1.17784,0.00946048,0.00946048,0.00946048
17,2368.88,1.08092,0.97856,1.15425,0.84378,0.82548,0.88865,0.6783,0.92083,0.65086,1.1632,0.00938772,0.00938772,0.00938772
18,2505.55,1.06815,0.97138,1.14924,0.82346,0.83815,0.87898,0.67396,0.92465,0.64387,1.16777,0.00931067,0.00931067,0.00931067
19,2643.13,1.06291,0.94271,1.14013,0.88624,0.82459,0.88963,0.69224,0.89892,0.62485,1.14944,0.00922942,0.00922942,0.00922942
20,2779.69,1.05641,0.94424,1.13714,0.84763,0.83122,0.89294,0.69523,0.89949,0.62979,1.14813,0.00914405,0.00914405,0.00914405
21,2916.37,1.04581,0.91763,1.1329,0.86574,0.84758,0.90011,0.70265,0.8903,0.60953,1.14287,0.00905463,0.00905463,0.00905463
22,3054.31,1.04698,0.91954,1.13501,0.85682,0.84247,0.88922,0.68326,0.91333,0.61493,1.16574,0.00896127,0.00896127,0.00896127
23,3193.26,1.03548,0.90519,1.12846,0.8694,0.84963,0.91298,0.7091,0.88485,0.59492,1.14266,0.00886404,0.00886404,0.00886404
24,3330.89,1.03835,0.89225,1.13491,0.86497,0.86235,0.90571,0.6993,0.89593,0.58365,1.14842,0.00876305,0.00876305,0.00876305
25,3469.65,1.03083,0.89184,1.12596,0.84848,0.8629,0.90549,0.70635,0.87456,0.58003,1.13615,0.00865839,0.00865839,0.00865839
26,3608.63,1.02282,0.87574,1.12433,0.85629,0.88177,0.91324,0.71042,0.87853,0.57638,1.13461,0.00855018,0.00855018,0.00855018
27,3746.94,1.02138,0.87779,1.1189,0.85291,0.87916,0.91471,0.7179,0.86329,0.57153,1.12947,0.00843851,0.00843851,0.00843851
28,3885.86,1.0239,0.8663,1.11946,0.887,0.85686,0.91688,0.72038,0.86024,0.56265,1.12158,0.00832349,0.00832349,0.00832349
29,4025.01,1.01888,0.86441,1.1182,0.89732,0.85049,0.91947,0.7261,0.85072,0.55419,1.11828,0.00820525,0.00820525,0.00820525
30,4157.07,1.01673,0.8534,1.11492,0.86846,0.90039,0.93334,0.73784,0.8565,0.5514,1.11975,0.00808389,0.00808389,0.00808389
31,4290.72,1.00759,0.84639,1.10847,0.86008,0.89569,0.92597,0.73074,0.84544,0.54377,1.11069,0.00795954,0.00795954,0.00795954
32,4426.41,0.99058,0.8294,1.10131,0.86958,0.88251,0.92211,0.73013,0.84084,0.54346,1.11086,0.00783231,0.00783231,0.00783231
33,133.899,0.98087,0.81029,1.09614,0.89375,0.87875,0.92588,0.73422,0.83497,0.53674,1.10698,0.00770234,0.00770234,0.00770234
34,264.485,0.99694,0.82218,1.10388,0.888,0.87087,0.9263,0.7362,0.83452,0.52854,1.10697,0.00756976,0.00756976,0.00756976
35,393.597,0.99116,0.81319,1.09978,0.87494,0.8802,0.9267,0.73552,0.8299,0.53054,1.10447,0.00743468,0.00743468,0.00743468
36,522.778,0.98003,0.80568,1.09493,0.89136,0.88166,0.92986,0.7376,0.83126,0.52734,1.10188,0.00729725,0.00729725,0.00729725
37,652.654,0.9811,0.80292,1.09596,0.9038,0.88376,0.93427,0.7434,0.83036,0.52008,1.10252,0.00715761,0.00715761,0.00715761
38,781.185,0.97604,0.79765,1.09198,0.87387,0.88599,0.93637,0.74334,0.83176,0.51977,1.10574,0.00701588,0.00701588,0.00701588
39,909.739,0.97761,0.79393,1.08991,0.87498,0.8958,0.93651,0.74524,0.82406,0.51857,1.10099,0.00687222,0.00687222,0.00687222
40,1040.47,0.96147,0.77433,1.08688,0.8846,0.89268,0.93709,0.74561,0.8238,0.51215,1.10303,0.00672675,0.00672675,0.00672675
41,1173.91,0.96405,0.77379,1.08472,0.87097,0.90579,0.93907,0.7462,0.82468,0.50811,1.10391,0.00657963,0.00657963,0.00657963
42,1304.81,0.96655,0.77865,1.08698,0.8832,0.8942,0.94155,0.74885,0.82301,0.50384,1.10124,0.00643101,0.00643101,0.00643101
43,1435.81,0.95147,0.75362,1.08385,0.88302,0.89617,0.94089,0.74927,0.81862,0.50103,1.0979,0.00628101,0.00628101,0.00628101
44,1565.11,0.95298,0.76001,1.07731,0.89681,0.89442,0.94438,0.75224,0.81789,0.50005,1.09575,0.00612981,0.00612981,0.00612981
45,1693.8,0.94997,0.75287,1.07681,0.90413,0.89331,0.94169,0.75043,0.81896,0.50021,1.09471,0.00597754,0.00597754,0.00597754
46,1823.49,0.94709,0.74832,1.07479,0.90507,0.89643,0.94457,0.75158,0.81685,0.49867,1.09289,0.00582435,0.00582435,0.00582435
47,136.727,0.90333,0.69085,1.05298,0.90535,0.89532,0.94144,0.75096,0.81424,0.49674,1.09226,0.0056704,0.0056704,0.0056704
48,271.291,0.91268,0.70312,1.05986,0.8977,0.90397,0.94201,0.75278,0.81059,0.49542,1.09092,0.00551584,0.00551584,0.00551584
49,410.794,0.91059,0.69835,1.05777,0.89612,0.90291,0.94191,0.75278,0.80958,0.49497,1.09022,0.00536081,0.00536081,0.00536081
50,552.77,0.90099,0.68875,1.05258,0.89719,0.90224,0.94087,0.75161,0.80856,0.49407,1.08973,0.00520548,0.00520548,0.00520548
51,693.853,0.90173,0.68881,1.05392,0.90266,0.89347,0.93854,0.75108,0.80781,0.49388,1.09004,0.00505,0.00505,0.00505
52,833.862,0.897,0.68392,1.05086,0.89553,0.8969,0.93823,0.74963,0.80741,0.4946,1.09007,0.00489452,0.00489452,0.00489452
53,969.107,0.90297,0.68366,1.04926,0.89387,0.89937,0.93804,0.75078,0.80651,0.49329,1.09003,0.00473919,0.00473919,0.00473919
54,1104.55,0.88791,0.67022,1.04576,0.89618,0.8961,0.94316,0.75439,0.80625,0.49338,1.09041,0.00458416,0.00458416,0.00458416
55,1242.17,0.89061,0.67251,1.04523,0.89831,0.89335,0.94314,0.75442,0.80604,0.49279,1.09055,0.0044296,0.0044296,0.0044296
56,1378.2,0.89414,0.67949,1.04689,0.90441,0.88947,0.94298,0.75491,0.80529,0.49282,1.08981,0.00427565,0.00427565,0.00427565
57,1509.27,0.89013,0.66475,1.04977,0.91142,0.88731,0.94296,0.75525,0.80576,0.49208,1.09031,0.00412246,0.00412246,0.00412246
58,1638.88,0.89415,0.67639,1.04548,0.91141,0.88693,0.94299,0.75488,0.80515,0.49144,1.08958,0.00397019,0.00397019,0.00397019
59,1768.54,0.8986,0.67555,1.05033,0.91587,0.88418,0.94214,0.75379,0.80578,0.49116,1.08972,0.00381899,0.00381899,0.00381899
60,1901.71,0.89838,0.67836,1.04984,0.91616,0.88455,0.94196,0.75337,0.80623,0.49088,1.08995,0.00366899,0.00366899,0.00366899
61,2033.83,0.9012,0.67594,1.04684,0.91748,0.88487,0.94208,0.75317,0.80637,0.48972,1.08995,0.00352037,0.00352037,0.00352037
62,2164.58,0.89429,0.66943,1.04746,0.92027,0.8844,0.942,0.75287,0.8068,0.48892,1.08973,0.00337325,0.00337325,0.00337325
63,2300.35,0.89535,0.66468,1.04556,0.92065,0.88567,0.94198,0.75306,0.8066,0.4888,1.08964,0.00322778,0.00322778,0.00322778
