epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.888,1.60016,4.45761,1.00667,0.48553,0.14675,0.14554,0.09545,1.43791,2.16469,0.94999,0.00332963,0.00332963,0.0700334
2,304.713,1.53918,2.11241,0.98297,0.38251,0.18519,0.17751,0.11247,1.59936,2.12393,0.99721,0.00666224,0.00666224,0.0400326
3,442.042,1.59161,2.03099,0.9963,0.5071,0.16348,0.15434,0.09441,1.62121,2.15957,1.02345,0.00999195,0.00999195,0.010029
4,582.23,1.62046,2.01397,1.01447,0.49702,0.20905,0.20982,0.13465,1.51206,1.81319,0.98868,0.00999023,0.00999023,0.00999023
5,719.781,1.5537,1.81549,0.98887,0.56373,0.23608,0.26124,0.16901,1.45803,1.67348,0.96969,0.00998264,0.00998264,0.00998264
6,851.072,1.49191,1.65058,0.97047,0.55144,0.26665,0.27762,0.18314,1.41349,1.53633,0.94854,0.00997288,0.00997288,0.00997288
7,981.166,1.45443,1.55365,0.96117,0.47752,0.2665,0.29283,0.1903,1.42945,1.52259,0.96234,0.00996097,0.00996097,0.00996097
8,1112.5,1.43303,1.49467,0.95664,0.54197,0.29517,0.32751,0.21957,1.35169,1.423,0.92996,0.0099469,0.0099469,0.0099469
9,1243.77,1.39467,1.42347,0.94655,0.58671,0.29628,0.33288,0.22317,1.35499,1.381,0.93362,0.00993068,0.00993068,0.00993068
10,1375.33,1.3911,1.38005,0.94003,0.51571,0.32003,0.34156,0.23026,1.31886,1.40159,0.92478,0.00991232,0.00991232,0.00991232
11,1506.41,1.37028,1.33763,0.93721,0.56646,0.32489,0.36772,0.24892,1.32367,1.33561,0.93469,0.00989183,0.00989183,0.00989183
12,1638.56,1.34296,1.3102,0.93352,0.57359,0.33432,0.37379,0.24749,1.3194,1.26705,0.93242,0.00986922,0.00986922,0.00986922
13,1770.82,1.3471,1.29069,0.93137,0.53863,0.36802,0.38541,0.25834,1.33104,1.24902,0.93077,0.00984449,0.00984449,0.00984449
14,1901.89,1.32844,1.26685,0.92568,0.54886,0.37004,0.3919,0.26557,1.30117,1.20542,0.92395,0.00981765,0.00981765,0.00981765
15,2033.88,1.3091,1.2201,0.92272,0.64034,0.34306,0.3971,0.26825,1.31195,1.20819,0.92869,0.00978873,0.00978873,0.00978873
16,2165.79,1.31037,1.21976,0.92121,0.52819,0.36919,0.39736,0.26918,1.28603,1.19676,0.91708,0.00975773,0.00975773,0.00975773
17,2297,1.28967,1.19141,0.92002,0.62619,0.3468,0.40596,0.27382,1.28395,1.18768,0.92119,0.00972466,0.00972466,0.00972466
18,2428.12,1.28908,1.17624,0.91297,0.5341,0.3667,0.40784,0.28027,1.252,1.17067,0.91179,0.00968955,0.00968955,0.00968955
19,2559.77,1.27866,1.14986,0.91633,0.54776,0.38253,0.41083,0.28588,1.25119,1.16817,0.91599,0.00965239,0.00965239,0.00965239
20,2690.27,1.27313,1.1371,0.91593,0.59397,0.37181,0.42295,0.2886,1.26822,1.1256,0.91905,0.00961322,0.00961322,0.00961322
21,2821.07,1.26888,1.12678,0.91262,0.5831,0.39731,0.42959,0.30037,1.23966,1.12083,0.90863,0.00957205,0.00957205,0.00957205
22,2953.53,1.26067,1.11936,0.91267,0.58914,0.40045,0.43766,0.2989,1.24598,1.07489,0.91515,0.00952889,0.00952889,0.00952889
23,3084.94,1.25358,1.11013,0.9116,0.645,0.36794,0.43713,0.30201,1.23324,1.11992,0.90844,0.00948377,0.00948377,0.00948377
24,3216.37,1.23726,1.08888,0.90756,0.62399,0.36952,0.42728,0.29258,1.24695,1.11153,0.91094,0.00943671,0.00943671,0.00943671
25,3347.5,1.25208,1.09469,0.90703,0.65241,0.39415,0.45321,0.31465,1.22913,1.07012,0.90463,0.00938772,0.00938772,0.00938772
26,3478.99,1.23534,1.07508,0.90371,0.63601,0.39914,0.45206,0.31572,1.17106,1.08945,0.8912,0.00933683,0.00933683,0.00933683
27,3621.7,1.22266,1.0677,0.90367,0.59754,0.42033,0.45722,0.31589,1.19313,1.03623,0.89907,0.00928405,0.00928405,0.00928405
28,3764.26,1.22166,1.05837,0.89958,0.59637,0.3988,0.45347,0.31783,1.17657,1.03381,0.89145,0.00922942,0.00922942,0.00922942
29,3906.42,1.20345,1.04057,0.89916,0.58548,0.4181,0.45626,0.31856,1.17255,1.0483,0.89284,0.00917296,0.00917296,0.00917296
