epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.2799,1.82093,5.23262,1.01267,0.43493,0.09641,0.05033,0.032,1.68356,3.00982,0.97782,0.00332963,0.00332963,0.0700334
2,187.341,1.74802,3.35723,1.01239,0.42062,0.11748,0.08864,0.05302,1.76193,2.5731,1.04306,0.00666224,0.00666224,0.0400326
3,274.832,1.75069,2.88384,1.03252,0.38197,0.15374,0.10296,0.06326,1.67388,2.49758,1.0244,0.00999195,0.00999195,0.010029
4,360.963,1.74471,2.56597,1.04505,0.41061,0.15557,0.12552,0.08073,1.60565,2.21407,1.02053,0.00999023,0.00999023,0.00999023
5,446.998,1.65882,2.23908,1.02034,0.49129,0.18666,0.15836,0.09782,1.57137,2.08736,1.00347,0.00998264,0.00998264,0.00998264
6,533.713,1.58606,2.02864,0.9958,0.52934,0.19254,0.19137,0.12751,1.48284,1.86701,0.96901,0.00997288,0.00997288,0.00997288
7,618.552,1.56249,1.92395,0.99004,0.51278,0.18803,0.19802,0.13133,1.50749,1.83196,0.98525,0.00996097,0.00996097,0.00996097
8,711.729,1.53576,1.84469,0.98432,0.46955,0.20975,0.21546,0.14383,1.46256,1.80324,0.97269,0.0099469,0.0099469,0.0099469
9,91.7442,1.50544,1.77623,0.97099,0.55458,0.21958,0.23403,0.15278,1.49561,1.73805,0.96917,0.00993068,0.00993068,0.00993068
10,172.09,1.48712,1.70352,0.97991,0.40033,0.25052,0.23838,0.15142,1.53056,1.67277,0.98811,0.00991232,0.00991232,0.00991232
11,252.561,1.46391,1.65227,0.9649,0.48643,0.22711,0.24754,0.163,1.47726,1.67575,0.96875,0.00989183,0.00989183,0.00989183
12,334.052,1.45314,1.62288,0.96159,0.47345,0.27361,0.27314,0.18332,1.41187,1.56711,0.94472,0.00986922,0.00986922,0.00986922
13,415.878,1.44264,1.58289,0.95401,0.56423,0.2515,0.2727,0.18563,1.36048,1.54194,0.93615,0.00984449,0.00984449,0.00984449
14,495.672,1.42587,1.53509,0.94841,0.48786,0.26208,0.27785,0.18602,1.37657,1.50129,0.93911,0.00981765,0.00981765,0.00981765
15,577.007,1.41975,1.50643,0.94823,0.5145,0.26367,0.28775,0.19586,1.36658,1.4816,0.93789,0.00978873,0.00978873,0.00978873
16,656.522,1.40789,1.48887,0.946,0.43789,0.28317,0.29327,0.20051,1.35371,1.4915,0.93406,0.00975773,0.00975773,0.00975773
17,736.398,1.40795,1.47091,0.9488,0.50902,0.27643,0.29918,0.20191,1.36152,1.44038,0.9371,0.00972466,0.00972466,0.00972466
18,816.336,1.40988,1.4627,0.9417,0.54946,0.26528,0.30047,0.20361,1.367,1.42612,0.93925,0.00968955,0.00968955,0.00968955
19,896.227,1.40584,1.43393,0.94532,0.55798,0.26356,0.30816,0.21068,1.34893,1.44101,0.93283,0.00965239,0.00965239,0.00965239
20,975.974,1.38693,1.4188,0.94228,0.54528,0.28151,0.31348,0.21508,1.3502,1.36283,0.93312,0.00961322,0.00961322,0.00961322
21,1055.69,1.39798,1.40775,0.94296,0.52104,0.29786,0.32132,0.21829,1.32382,1.38801,0.93242,0.00957205,0.00957205,0.00957205
22,1135.47,1.38491,1.39887,0.93834,0.52827,0.3072,0.33181,0.22442,1.31293,1.33355,0.9276,0.00952889,0.00952889,0.00952889
23,1215.06,1.37055,1.35925,0.93572,0.55166,0.30549,0.32947,0.22108,1.32935,1.35229,0.92869,0.00948377,0.00948377,0.00948377
24,1294.31,1.36893,1.36732,0.93376,0.54583,0.30563,0.34066,0.23421,1.30111,1.28672,0.91831,0.00943671,0.00943671,0.00943671
25,1373.79,1.35363,1.33788,0.93282,0.50232,0.31057,0.34327,0.23291,1.3401,1.30706,0.93307,0.00938772,0.00938772,0.00938772
26,1453.35,1.3621,1.32669,0.92864,0.52912,0.31102,0.34592,0.23833,1.28129,1.27354,0.91993,0.00933683,0.00933683,0.00933683
27,1533.09,1.35118,1.31629,0.93137,0.53619,0.31369,0.35346,0.23921,1.2991,1.27863,0.92022,0.00928405,0.00928405,0.00928405
