epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,494.712,1.86692,6.4098,0.92569,0.64433,0.02652,0.02216,0.01436,1.74293,3.44845,0.90498,0.00998551,0.0033285,0.00998551,0.0033285,0.00998551,0.0033285,0.00998551,0.0033285
2,993.327,1.79643,4.7236,0.9306,0.49063,0.09274,0.0573,0.03731,1.67674,2.86448,0.92933,0.0198866,0.00662886,0.0198866,0.00662886,0.0198866,0.00662886,0.0198866,0.00662886
3,1483.48,1.81212,3.97469,0.94926,0.37884,0.11052,0.05744,0.03465,1.76078,2.99522,0.96272,0.0296887,0.00989622,0.0296887,0.00989622,0.0296887,0.00989622,0.0296887,0.00989622
4,1971.54,1.77374,3.16151,0.94749,0.40668,0.10005,0.0809,0.05284,1.60619,2.66238,0.91739,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,2458.79,1.70145,2.83267,0.92986,0.35049,0.12411,0.09032,0.06084,1.55724,2.5752,0.9092,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2948.17,1.63704,2.68457,0.92013,0.41076,0.13874,0.10976,0.07384,1.49146,2.39133,0.88721,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,3433.99,1.61981,2.58537,0.91422,0.36898,0.16318,0.12537,0.08723,1.44112,2.28065,0.88159,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,3924.13,1.59111,2.50458,0.90304,0.38982,0.15634,0.13451,0.09313,1.46284,2.24221,0.87815,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,4410.25,1.58166,2.45752,0.90518,0.34798,0.17585,0.14361,0.09662,1.4681,2.19732,0.88597,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,4896.55,1.56889,2.41514,0.89574,0.34607,0.18241,0.1522,0.10617,1.42136,2.15896,0.87564,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
